PL_NAME,SPEC_TYPE,BIBCODE,AUTHORS,AUTHORS_UNACCENTED,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE,SPEC_ID,SPEC_PATH,ROW_IDX,ROW_NUM
Kepler-6 b,Emission,2011ApJS..197...11D,Désert et al. 2011,Desert et al. 2011,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 2,3.10_4096_1,19/17/34/02/Kepler_6_b_3.10_4096_1.tbl,0,0
Kepler-20 c,Transmission,2015ApJ...804...59D,Désert et al. 2015,Desert et al. 2015,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,,3.101_3665_1,56/12/36/06/Kepler_20_c_3.101_3665_1.tbl,1,1
Kepler-20 c,Transmission,2015ApJ...804...59D,Désert et al. 2015,Desert et al. 2015,1,Kepler CCD Array,The Kepler Mission,0.6,0.6,,,,3.101_3665_2,72/96/25/49/Kepler_20_c_3.101_3665_2.tbl,2,2
55 Cnc e,Emission,2016MNRAS.455.2018D,Demory et al. 2016,Demory et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,Table 2,3.10924_3724_1,27/26/74/71/55_Cnc_e_3.10924_3724_1.tbl,3,3
55 Cnc e,Emission,2012ApJ...751L..28D,Demory et al. 2012,Demory et al. 2012,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,,3.10924_4102_1,36/94/31/60/55_Cnc_e_3.10924_4102_1.tbl,4,4
55 Cnc e,Emission,2024arXiv240504744H,Hu et al. 2024,Hu et al. 2024,9,Mid-Infrared Instrument (MIRI),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,6.5825,11.4545,2460027.5,2460027.5,Fig. 3,3.10924_5378_1,03/10/03/15/55_Cnc_e_3.10924_5378_1.tbl,5,5
55 Cnc e,Emission,2024arXiv240504744H,Hu et al. 2024,Hu et al. 2024,21,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.965,4.965,2459907.5,2459907.5,Relative eclipse depths offset by 60 ppm (Fig 3),3.10924_5378_2,48/20/90/63/55_Cnc_e_3.10924_5378_2.tbl,6,6
55 Cnc e,Transmission,2014ApJ...797L..21D,de Mooij et al. 2014,de Mooij et al. 2014,8,ALFOSC,Nordic Optical Telescope,0.4735,0.656,,,,3.10924_3673_1,78/51/78/87/55_Cnc_e_3.10924_3673_1.tbl,7,7
55 Cnc e,Transmission,2011A&A...533A.114D,Demory et al. 2011,Demory et al. 2011,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,2455568.027,2455568.027,,3.10924_3696_1,34/62/75/84/55_Cnc_e_3.10924_3696_1.tbl,8,8
55 Cnc e,Transmission,2016MNRAS.455.2018D,Demory et al. 2016,Demory et al. 2016,6,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,2455567.5,2456484.5,,3.10924_3724_2,94/76/47/41/55_Cnc_e_3.10924_3724_2.tbl,9,9
55 Cnc e,Transmission,2016ApJ...820...99T,Tsiaras et al. 2016,Tsiaras et al. 2016,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.6376,,,,3.10924_3750_1,18/43/09/97/55_Cnc_e_3.10924_3750_1.tbl,10,10
CoRoT-1 b,Emission,2009A&A...506..359G,Gillon et al. 2009,Gillon et al. 2009,1,High Acuity Wide-field K-band Imager (HAWK-I),European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,2.095,2.095,,,Table 1,3.10951_2058_1,52/88/66/83/CoRoT_1_b_3.10951_2058_1.tbl,11,11
CoRoT-1 b,Emission,2009ApJ...707.1707R,Rogers et al. 2009,Rogers et al. 2009,1,Near-Infrared Camera & Fabry-Perot Spectrometer (NIC-FPS),Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO),2.147,2.147,,,Table 3,3.10951_2066_1,14/77/50/86/CoRoT_1_b_3.10951_2066_1.tbl,12,12
CoRoT-1 b,Emission,2011ApJ...726...95D,Deming et al. 2011,Deming et al. 2011,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 1,3.10951_4094_1,09/39/37/92/CoRoT_1_b_3.10951_4094_1.tbl,13,13
CoRoT-1 b,Emission,2012ApJ...744..122Z,Zhao et al. 2012,Zhao et al. 2012,1,Wide-field InfraRed Camera (WIRC),Palomar Observatory 200-inch Hale Telescope,1.635,1.635,,,,3.10951_4099_1,87/47/21/70/CoRoT_1_b_3.10951_4099_1.tbl,14,14
CoRoT-1 b,Emission,2022ApJS..260....3C,Changeat et al. 2022,Changeat et al. 2022,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,3.10951_5219_101,60/97/64/98/CoRoT_1_b_3.10951_5219_101.tbl,15,15
