\PL_NAME = HD 149026 b
\SPEC_TYPE = Emission
\INSTRUMENT = Near Infrared Camera (NIRCam)
\FACILITY = NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission
\NOTE = None
\REFERENCE = Bean et al. 2023
\
\
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|  double|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|
        2.36000      null     0.01780         0.00850        -0.00850              0       null           null           null             0     null 
        2.38000      null     0.01350         0.00508        -0.00508              0       null           null           null             0     null 
        2.40000      null     0.01740         0.00509        -0.00509              0       null           null           null             0     null 
        2.42000      null     0.01840         0.00396        -0.00396              0       null           null           null             0     null 
        2.44000      null     0.02100         0.00351        -0.00351              0       null           null           null             0     null 
        2.46000      null     0.02210         0.00361        -0.00361              0       null           null           null             0     null 
        2.48000      null     0.01800         0.00356        -0.00356              0       null           null           null             0     null 
        2.50000      null     0.01520         0.00344        -0.00344              0       null           null           null             0     null 
        2.52000      null     0.01980         0.00392        -0.00392              0       null           null           null             0     null 
        2.54000      null     0.01180         0.00402        -0.00402              0       null           null           null             0     null 
        2.56000      null     0.02380         0.00420        -0.00420              0       null           null           null             0     null 
        2.58000      null     0.02080         0.00401        -0.00401              0       null           null           null             0     null 
        2.60000      null     0.01840         0.00366        -0.00366              0       null           null           null             0     null 
        2.62000      null     0.01690         0.00467        -0.00467              0       null           null           null             0     null 
        2.64000      null     0.01250         0.00372        -0.00372              0       null           null           null             0     null 
        2.66000      null     0.01460         0.00381        -0.00381              0       null           null           null             0     null 
        2.68000      null     0.02470         0.00552        -0.00552              0       null           null           null             0     null 
        2.70000      null     0.01680         0.00331        -0.00331              0       null           null           null             0     null 
        2.72000      null     0.00894         0.00387        -0.00387              0       null           null           null             0     null 
        2.74000      null     0.02220         0.00320        -0.00320              0       null           null           null             0     null 
        2.76000      null     0.02210         0.00355        -0.00355              0       null           null           null             0     null 
        2.78000      null     0.01750         0.00387        -0.00387              0       null           null           null             0     null 
        2.80000      null     0.01890         0.00390        -0.00390              0       null           null           null             0     null 
        2.82000      null     0.01780         0.00607        -0.00607              0       null           null           null             0     null 
        2.84000      null     0.02030         0.00390        -0.00390              0       null           null           null             0     null 
        2.86000      null     0.01520         0.00619        -0.00619              0       null           null           null             0     null 
        2.88000      null     0.01850         0.00334        -0.00334              0       null           null           null             0     null 
        2.90000      null     0.01880         0.00360        -0.00360              0       null           null           null             0     null 
        2.92000      null     0.02200         0.00409        -0.00409              0       null           null           null             0     null 
        2.94000      null     0.01480         0.00426        -0.00426              0       null           null           null             0     null 
        2.96000      null     0.02290         0.00387        -0.00387              0       null           null           null             0     null 
        2.98000      null     0.02150         0.00410        -0.00410              0       null           null           null             0     null 
        3.00000      null     0.01700         0.00380        -0.00380              0       null           null           null             0     null 
        3.02000      null     0.02200         0.00444        -0.00444              0       null           null           null             0     null 
        3.04000      null     0.01660         0.00435        -0.00435              0       null           null           null             0     null 
        3.06000      null     0.02310         0.00399        -0.00399              0       null           null           null             0     null 
        3.08000      null     0.02390         0.00403        -0.00403              0       null           null           null             0     null 
        3.10000      null     0.02930         0.00561        -0.00561              0       null           null           null             0     null 
        3.12000      null     0.02560         0.00406        -0.00406              0       null           null           null             0     null 
        3.14000      null     0.02580         0.00382        -0.00382              0       null           null           null             0     null 
        3.16000      null     0.03020         0.00371        -0.00371              0       null           null           null             0     null 
        3.18000      null     0.03340         0.00358        -0.00358              0       null           null           null             0     null 
        3.20000      null     0.02280         0.00401        -0.00401              0       null           null           null             0     null 
        3.22000      null     0.02750         0.00393        -0.00393              0       null           null           null             0     null 
        3.24000      null     0.03130         0.00333        -0.00333              0       null           null           null             0     null 
