\PL_NAME = WASP-18 b
\SPEC_TYPE = Emission
\INSTRUMENT = Near Infrared Imager and Slitless Spectrograph (NIRISS)
\FACILITY = NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission
\NOTE = NAMELESS pipeline
\REFERENCE = Coulombe et al. 2023
\
\
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|
|        double|   double|     double|         double|         double|          char|    double|        double|        double|         long|    char|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|
        0.85432   0.00442     0.04862         0.00772        -0.00772           null       null           null           null             0     null 
        0.85918   0.00531     0.04987         0.00809        -0.00809           null       null           null           null             0     null 
        0.86405   0.00443     0.05595         0.00789        -0.00789           null       null           null           null             0     null 
        0.86892   0.00532     0.05209         0.00673        -0.00673           null       null           null           null             0     null 
        0.87381   0.00444     0.05969         0.00699        -0.00699           null       null           null           null             0     null 
        0.87870   0.00534     0.05938         0.00636        -0.00636           null       null           null           null             0     null 
        0.88359   0.00445     0.05878         0.00675        -0.00675           null       null           null           null             0     null 
        0.88850   0.00535     0.06005         0.00620        -0.00620           null       null           null           null             0     null 
        0.89341   0.00447     0.05348         0.00688        -0.00688           null       null           null           null             0     null 
        0.89832   0.00537     0.04110         0.00660        -0.00660           null       null           null           null             0     null 
        0.90325   0.00448     0.05614         0.00656        -0.00656           null       null           null           null             0     null 
        0.90773   0.00449     0.04145         0.00734        -0.00734           null       null           null           null             0     null 
        0.91267   0.00539     0.05452         0.00672        -0.00672           null       null           null           null             0     null 
        0.91761   0.00450     0.06666         0.00655        -0.00655           null       null           null           null             0     null 
        0.92256   0.00540     0.05809         0.00638        -0.00638           null       null           null           null             0     null 
        0.92752   0.00451     0.05301         0.00701        -0.00701           null       null           null           null             0     null 
        0.93203   0.00451     0.05266         0.00666        -0.00666           null       null           null           null             0     null 
        0.93700   0.00542     0.04599         0.00592        -0.00592           null       null           null           null             0     null 
        0.94197   0.00453     0.05315         0.00721        -0.00721           null       null           null           null             0     null 
        0.94650   0.00453     0.06544         0.00690        -0.00690           null       null           null           null             0     null 
        0.95149   0.00544     0.05361         0.00556        -0.00556           null       null           null           null             0     null 
        0.95648   0.00454     0.05617         0.00655        -0.00655           null       null           null           null             0     null 
        0.96102   0.00455     0.06742         0.00623        -0.00623           null       null           null           null             0     null 
        0.96603   0.00546     0.05821         0.00554        -0.00554           null       null           null           null             0     null 
        0.97104   0.00456     0.06190         0.00640        -0.00640           null       null           null           null             0     null 
        0.97560   0.00456     0.06696         0.00650        -0.00650           null       null           null           null             0     null 
        0.98062   0.00548     0.05820         0.00541        -0.00541           null       null           null           null             0     null 
        0.98565   0.00457     0.07313         0.00578        -0.00578           null       null           null           null             0     null 
        0.99022   0.00458     0.07073         0.00680        -0.00680           null       null           null           null             0     null 
        0.99480   0.00458     0.07215         0.00633        -0.00633           null       null           null           null             0     null 
        0.99985   0.00550     0.07632         0.00548        -0.00548           null       null           null           null             0     null 
        1.00490   0.00459     0.07032         0.00572        -0.00572           null       null           null           null             0     null 
        1.00949   0.00460     0.06082         0.00621        -0.00621           null       null           null           null             0     null 
        1.01455   0.00552     0.07489         0.00524        -0.00524           null       null           null           null             0     null 
        1.01961   0.00461     0.06734         0.00604        -0.00604           null       null           null           null             0     null 
        1.02422   0.00461     0.06712         0.00671        -0.00671           null       null           null           null             0     null 
        1.02884   0.00462     0.06248         0.00583        -0.00583           null       null           null           null             0     null 
        1.03392   0.00554     0.07150         0.00537        -0.00537           null       null           null           null             0     null 
        1.03900   0.00462     0.06870         0.00548        -0.00548           null       null           null           null             0     null 
        1.04363   0.00463     0.08524         0.00574        -0.00574           null       null           null           null             0     null 
        1.04826   0.00463     0.07145         0.00559        -0.00559           null       null           null           null             0     null 
