\PL_NAME = WASP-18 b
\SPEC_TYPE = Emission
\INSTRUMENT = Near Infrared Imager and Slitless Spectrograph (NIRISS)
\FACILITY = NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission
\NOTE = nirHiss pipeline
\REFERENCE = Coulombe et al. 2023
\
\
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|
|        double|   double|     double|         double|         double|          char|    double|        double|        double|         long|    char|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|
        0.85432   0.00442     0.09313         0.05387        -0.05387           null       null           null           null             0     null 
        0.85918   0.00531     0.04540         0.00824        -0.00824           null       null           null           null             0     null 
        0.86405   0.00443     0.04698         0.00817        -0.00817           null       null           null           null             0     null 
        0.86892   0.00532     0.05243         0.00806        -0.00806           null       null           null           null             0     null 
        0.87381   0.00444     0.05810         0.00758        -0.00758           null       null           null           null             0     null 
        0.87870   0.00534     0.06596         0.00737        -0.00737           null       null           null           null             0     null 
        0.88359   0.00445     0.05677         0.00738        -0.00738           null       null           null           null             0     null 
        0.88850   0.00535     0.05991         0.00715        -0.00715           null       null           null           null             0     null 
        0.89341   0.00447     0.05613         0.00762        -0.00762           null       null           null           null             0     null 
        0.89832   0.00537     0.03970         0.00689        -0.00689           null       null           null           null             0     null 
        0.90325   0.00448     0.05261         0.00785        -0.00785           null       null           null           null             0     null 
        0.90773   0.00449     0.04152         0.00743        -0.00743           null       null           null           null             0     null 
        0.91267   0.00539     0.05014         0.00713        -0.00713           null       null           null           null             0     null 
        0.91761   0.00450     0.06445         0.00682        -0.00682           null       null           null           null             0     null 
        0.92256   0.00540     0.06163         0.00646        -0.00646           null       null           null           null             0     null 
        0.92752   0.00451     0.05374         0.00686        -0.00686           null       null           null           null             0     null 
        0.93203   0.00451     0.05178         0.00575        -0.00575           null       null           null           null             0     null 
        0.93700   0.00542     0.04565         0.00703        -0.00703           null       null           null           null             0     null 
        0.94197   0.00453     0.05454         0.00721        -0.00721           null       null           null           null             0     null 
        0.94650   0.00453     0.06225         0.00731        -0.00731           null       null           null           null             0     null 
        0.95149   0.00544     0.05372         0.00608        -0.00608           null       null           null           null             0     null 
        0.95648   0.00454     0.05351         0.00671        -0.00671           null       null           null           null             0     null 
        0.96102   0.00455     0.06762         0.00612        -0.00612           null       null           null           null             0     null 
        0.96603   0.00546     0.05684         0.00593        -0.00593           null       null           null           null             0     null 
