\PL_NAME = WASP-18 b
\SPEC_TYPE = Emission
\INSTRUMENT = Near Infrared Imager and Slitless Spectrograph (NIRISS)
\FACILITY = NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission
\NOTE = transitspectroscopy pipeline
\REFERENCE = Coulombe et al. 2023
\
\
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|
|        double|   double|     double|         double|         double|          char|    double|        double|        double|         long|    char|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|
        0.87444   0.00445     0.05369         0.00779        -0.00779           null       null           null           null             0     null 
        0.87934   0.00535     0.05855         0.00693        -0.00693           null       null           null           null             0     null 
        0.88424   0.00446     0.05571         0.00769        -0.00769           null       null           null           null             0     null 
        0.88915   0.00536     0.05825         0.00676        -0.00676           null       null           null           null             0     null 
        0.89407   0.00447     0.06406         0.00642        -0.00642           null       null           null           null             0     null 
        0.89855   0.00448     0.06010         0.00748        -0.00748           null       null           null           null             0     null 
        0.90348   0.00538     0.06150         0.00660        -0.00660           null       null           null           null             0     null 
        0.90842   0.00449     0.05448         0.00676        -0.00676           null       null           null           null             0     null 
        0.91336   0.00540     0.05470         0.00651        -0.00651           null       null           null           null             0     null 
        0.91831   0.00450     0.05032         0.00644        -0.00644           null       null           null           null             0     null 
        0.92282   0.00451     0.05240         0.00637        -0.00637           null       null           null           null             0     null 
        0.92778   0.00542     0.05029         0.00640        -0.00640           null       null           null           null             0     null 
        0.93275   0.00452     0.05789         0.00627        -0.00627           null       null           null           null             0     null 
        0.93727   0.00453     0.06268         0.00739        -0.00739           null       null           null           null             0     null 
        0.94225   0.00544     0.06528         0.00566        -0.00566           null       null           null           null             0     null 
        0.94724   0.00454     0.05592         0.00703        -0.00703           null       null           null           null             0     null 
        0.95178   0.00454     0.05086         0.00643        -0.00643           null       null           null           null             0     null 
        0.95678   0.00546     0.06007         0.00599        -0.00599           null       null           null           null             0     null 
        0.96178   0.00455     0.06030         0.00656        -0.00656           null       null           null           null             0     null 
        0.96633   0.00456     0.05470         0.00613        -0.00613           null       null           null           null             0     null 
        0.97135   0.00547     0.06048         0.00596        -0.00596           null       null           null           null             0     null 
        0.97637   0.00457     0.05938         0.00624        -0.00624           null       null           null           null             0     null 
        0.98094   0.00457     0.06650         0.00617        -0.00617           null       null           null           null             0     null 
        0.98552   0.00458     0.06499         0.00601        -0.00601           null       null           null           null             0     null 
        0.99055   0.00550     0.06218         0.00558        -0.00558           null       null           null           null             0     null 
        0.99560   0.00459     0.05968         0.00563        -0.00563           null       null           null           null             0     null 
        1.00019   0.00459     0.06924         0.00631        -0.00631           null       null           null           null             0     null 
        1.00478   0.00460     0.05086         0.00606        -0.00606           null       null           null           null             0     null 
        1.00984   0.00552     0.07877         0.00557        -0.00557           null       null           null           null             0     null 
        1.01490   0.00461     0.07717         0.00608        -0.00608           null       null           null           null             0     null 
        1.01951   0.00461     0.07604         0.00580        -0.00580           null       null           null           null             0     null 
        1.02412   0.00461     0.06647         0.00559        -0.00559           null       null           null           null             0     null 
        1.02920   0.00554     0.07205         0.00564        -0.00564           null       null           null           null             0     null 
        1.03429   0.00462     0.07166         0.00600        -0.00600           null       null           null           null             0     null 
        1.03891   0.00463     0.06764         0.00567        -0.00567           null       null           null           null             0     null 
        1.04354   0.00463     0.07252         0.00617        -0.00617           null       null           null           null             0     null 
        1.04864   0.00556     0.07146         0.00546        -0.00546           null       null           null           null             0     null 
        1.05375   0.00464     0.07392         0.00553        -0.00553           null       null           null           null             0     null 
        1.05839   0.00465     0.07416         0.00580        -0.00580           null       null           null           null             0     null 
        1.06304   0.00465     0.08191         0.00610        -0.00610           null       null           null           null             0     null 
        1.06769   0.00465     0.07704         0.00537        -0.00537           null       null           null           null             0     null 
        1.07281   0.00559     0.07496         0.00519        -0.00519           null       null           null           null             0     null 
        1.07793   0.00466     0.08064         0.00582        -0.00582           null       null           null           null             0     null 
        1.08260   0.00467     0.06752         0.00528        -0.00528           null       null           null           null             0     null 
        1.08727   0.00467     0.07765         0.00554        -0.00554           null       null           null           null             0     null 
        1.09194   0.00467     0.06820         0.00569        -0.00569           null       null           null           null             0     null 
        1.09661   0.00468     0.07109         0.00573        -0.00573           null       null           null           null             0     null 
        1.10176   0.00562     0.07662         0.00477        -0.00477           null       null           null           null             0     null 
        1.10691   0.00469     0.08426         0.00543        -0.00543           null       null           null           null             0     null 
        1.11160   0.00469     0.08422         0.00561        -0.00561           null       null           null           null             0     null 
        1.11629   0.00469     0.08632         0.00540        -0.00540           null       null           null           null             0     null 
        1.12098   0.00470     0.08019         0.00574        -0.00574           null       null           null           null             0     null 
        1.12568   0.00470     0.08131         0.00511        -0.00511           null       null           null           null             0     null 
        1.13038   0.00470     0.08637         0.00538        -0.00538           null       null           null           null             0     null 
        1.13556   0.00565     0.08278         0.00487        -0.00487           null       null           null           null             0     null 
        1.14074   0.00471     0.07593         0.00569        -0.00569           null       null           null           null             0     null 
        1.14545   0.00471     0.08943         0.00550        -0.00550           null       null           null           null             0     null 
        1.15016   0.00472     0.07045         0.00587        -0.00587           null       null           null           null             0     null 
        1.15488   0.00472     0.08757         0.00561        -0.00561           null       null           null           null             0     null 
        1.15960   0.00472     0.09089         0.00557        -0.00557           null       null           null           null             0     null 
        1.16433   0.00473     0.07580         0.00544        -0.00544           null       null           null           null             0     null 
        1.16906   0.00473     0.08042         0.00564        -0.00564           null       null           null           null             0     null 
        1.17426   0.00568     0.08698         0.00508        -0.00508           null       null           null           null             0     null 
        1.17947   0.00474     0.08787         0.00578        -0.00578           null       null           null           null             0     null 
        1.18421   0.00474     0.08821         0.00546        -0.00546           null       null           null           null             0     null 
        1.18895   0.00474     0.09776         0.00493        -0.00493           null       null           null           null             0     null 
        1.19369   0.00475     0.08894         0.00569        -0.00569           null       null           null           null             0     null 
        1.19844   0.00475     0.08846         0.00543        -0.00543           null       null           null           null             0     null 
        1.20319   0.00475     0.09399         0.00533        -0.00533           null       null           null           null             0     null 
        1.20794   0.00475     0.09655         0.00558        -0.00558           null       null           null           null             0     null 
        1.21270   0.00476     0.09215         0.00523        -0.00523           null       null           null           null             0     null 
        1.21745   0.00476     0.08364         0.00567        -0.00567           null       null           null           null             0     null 
        1.22221   0.00476     0.09303         0.00552        -0.00552           null       null           null           null             0     null 
        1.22698   0.00477     0.09642         0.00577        -0.00577           null       null           null           null             0     null 
        1.23222   0.00572     0.09049         0.00495        -0.00495           null       null           null           null             0     null 
        1.23747   0.00477     0.09133         0.00562        -0.00562           null       null           null           null             0     null 
        1.24224   0.00477     0.09380         0.00515        -0.00515           null       null           null           null             0     null 
        1.24702   0.00478     0.09824         0.00588        -0.00588           null       null           null           null             0     null 
