\PL_NAME = WASP-77 A b
\SPEC_TYPE = Emission
\INSTRUMENT = Near Infrared Spectrograph (NIRSpec) - G395H
\FACILITY = NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission
\NOTE = Table 2
\REFERENCE = August et al. 2023
\
\
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|    char|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|
        2.81100   0.00600     0.12670         0.00880        -0.00890              0       null           null           null             0     null 
        2.82400   0.00600     0.14500         0.00910        -0.00850              0       null           null           null             0     null 
        2.83700   0.00600     0.14330         0.00750        -0.00770              0       null           null           null             0     null 
        2.85000   0.00600     0.12370         0.00800        -0.00790              0       null           null           null             0     null 
        2.86300   0.00600     0.14810         0.00850        -0.00800              0       null           null           null             0     null 
        2.87600   0.00600     0.13060         0.00730        -0.00700              0       null           null           null             0     null 
        2.88900   0.00600     0.15290         0.00740        -0.00780              0       null           null           null             0     null 
        2.90200   0.00600     0.14200         0.00940        -0.00880              0       null           null           null             0     null 
        2.91500   0.00600     0.14770         0.00740        -0.00750              0       null           null           null             0     null 
        2.92800   0.00600     0.14570         0.00700        -0.00700              0       null           null           null             0     null 
        2.94100   0.00600     0.14070         0.00660        -0.00670              0       null           null           null             0     null 
        2.95400   0.00600     0.15420         0.00720        -0.00720              0       null           null           null             0     null 
        2.96700   0.00600     0.15130         0.00850        -0.00830              0       null           null           null             0     null 
        2.98000   0.00600     0.15370         0.00850        -0.00820              0       null           null           null             0     null 
        2.99300   0.00600     0.14990         0.00670        -0.00660              0       null           null           null             0     null 
        3.00600   0.00600     0.15240         0.00740        -0.00710              0       null           null           null             0     null 
        3.01900   0.00600     0.15590         0.00920        -0.00910              0       null           null           null             0     null 
        3.03200   0.00600     0.15460         0.00640        -0.00620              0       null           null           null             0     null 
        3.04500   0.00600     0.14900         0.00610        -0.00570              0       null           null           null             0     null 
        3.05800   0.00600     0.16370         0.00750        -0.00700              0       null           null           null             0     null 
        3.07100   0.00600     0.17520         0.00850        -0.00830              0       null           null           null             0     null 
        3.08400   0.00600     0.16000         0.00670        -0.00650              0       null           null           null             0     null 
        3.09700   0.00600     0.16600         0.00670        -0.00670              0       null           null           null             0     null 
        3.11000   0.00600     0.16670         0.00670        -0.00630              0       null           null           null             0     null 
        3.12300   0.00600     0.16940         0.00700        -0.00670              0       null           null           null             0     null 
        3.13600   0.00600     0.17630         0.00740        -0.00700              0       null           null           null             0     null 
        3.14900   0.00600     0.18250         0.00720        -0.00700              0       null           null           null             0     null 
        3.16200   0.00600     0.18000         0.00730        -0.00710              0       null           null           null             0     null 
        3.17500   0.00600     0.17150         0.00900        -0.00950              0       null           null           null             0     null 
        3.18800   0.00600     0.18980         0.00700        -0.00680              0       null           null           null             0     null 
        3.20100   0.00600     0.17610         0.00680        -0.00680              0       null           null           null             0     null 
        3.21400   0.00600     0.17910         0.00690        -0.00690              0       null           null           null             0     null 
        3.22700   0.00600     0.19000         0.00760        -0.00780              0       null           null           null             0     null 
        3.24000   0.00600     0.19070         0.00690        -0.00620              0       null           null           null             0     null 
        3.25300   0.00600     0.19930         0.00670        -0.00650              0       null           null           null             0     null 
        3.26600   0.00600     0.20120         0.00910        -0.00890              0       null           null           null             0     null 
        3.27900   0.00600     0.21520         0.00740        -0.00730              0       null           null           null             0     null 
        3.29200   0.00600     0.19560         0.00730        -0.00690              0       null           null           null             0     null 
        3.30600   0.00700     0.20480         0.00710        -0.00720              0       null           null           null             0     null 
        3.31900   0.00600     0.21120         0.00750        -0.00760              0       null           null           null             0     null 
        3.33200   0.00600     0.21900         0.00730        -0.00720              0       null           null           null             0     null 
        3.34500   0.00600     0.20520         0.00740        -0.00720              0       null           null           null             0     null 
        3.35800   0.00600     0.21230         0.00670        -0.00660              0       null           null           null             0     null 
        3.37100   0.00600     0.22550         0.00880        -0.00840              0       null           null           null             0     null 
        3.38400   0.00600     0.22610         0.00750        -0.00720              0       null           null           null             0     null 
        3.39700   0.00600     0.23230         0.00760        -0.00760              0       null           null           null             0     null 
        3.41000   0.00600     0.22670         0.00680        -0.00640              0       null           null           null             0     null 
        3.42300   0.00600     0.22700         0.00730        -0.00670              0       null           null           null             0     null 
        3.43600   0.00600     0.24540         0.00790        -0.00780              0       null           null           null             0     null 
        3.44900   0.00600     0.22780         0.00710        -0.00730              0       null           null           null             0     null 
        3.46200   0.00600     0.23120         0.00700        -0.00720              0       null           null           null             0     null 
        3.47500   0.00600     0.24490         0.00780        -0.00780              0       null           null           null             0     null 
        3.48800   0.00600     0.23860         0.00730        -0.00780              0       null           null           null             0     null 
        3.50100   0.00600     0.25220         0.00780        -0.00780              0       null           null           null             0     null 
        3.51400   0.00600     0.23740         0.00770        -0.00670              0       null           null           null             0     null 
        3.52700   0.00600     0.24860         0.00860        -0.00880              0       null           null           null             0     null 
        3.54000   0.00600     0.24710         0.00750        -0.00730              0       null           null           null             0     null 
        3.55300   0.00600     0.24710         0.00780        -0.00750              0       null           null           null             0     null 
        3.56600   0.00600     0.25340         0.00870        -0.00830              0       null           null           null             0     null 
        3.57900   0.00600     0.25750         0.00740        -0.00710              0       null           null           null             0     null 
        3.59200   0.00600     0.25860         0.00740        -0.00750              0       null           null           null             0     null 
        3.60500   0.00600     0.25460         0.00790        -0.00840              0       null           null           null             0     null 
        3.61800   0.00600     0.25370         0.00710        -0.00690              0       null           null           null             0     null 
        3.63100   0.00600     0.26590         0.00860        -0.00770              0       null           null           null             0     null 
        3.64400   0.00600     0.28200         0.00850        -0.00880              0       null           null           null             0     null 
        3.65700   0.00600     0.25890         0.00700        -0.00650              0       null           null           null             0     null 
        3.67000   0.00600     0.27030         0.00780        -0.00770              0       null           null           null             0     null 
        3.68300   0.00600     0.28140         0.00680        -0.00670              0       null           null           null             0     null 
        3.69600   0.00600     0.27520         0.00800        -0.00800              0       null           null           null             0     null 
        3.70900   0.00600     0.28380         0.00790        -0.00850              0       null           null           null             0     null 
        3.83500   0.00800     0.29140         0.00730        -0.00690              0       null           null           null             0     null 
        3.85200   0.00800     0.29830         0.00740        -0.00710              0       null           null           null             0     null 
        3.86900   0.00800     0.31090         0.00820        -0.00810              0       null           null           null             0     null 
        3.88600   0.00800     0.32080         0.00820        -0.00840              0       null           null           null             0     null 
        3.90300   0.00800     0.32200         0.00850        -0.00780              0       null           null           null             0     null 
        3.91900   0.00800     0.30050         0.00790        -0.00770              0       null           null           null             0     null 
        3.93600   0.00800     0.31310         0.00800        -0.00760              0       null           null           null             0     null 
        3.95300   0.00800     0.32000         0.00860        -0.00860              0       null           null           null             0     null 
        3.97000   0.00800     0.29390         0.00850        -0.00810              0       null           null           null             0     null 
        3.98700   0.00800     0.31010         0.00770        -0.00720              0       null           null           null             0     null 
        4.00400   0.00800     0.30770         0.00860        -0.00820              0       null           null           null             0     null 
        4.02000   0.00800     0.30770         0.00920        -0.00880              0       null           null           null             0     null 
        4.03700   0.00800     0.30070         0.00940        -0.00850              0       null           null           null             0     null 
        4.05400   0.00800     0.30610         0.00920        -0.00830              0       null           null           null             0     null 
        4.07100   0.00800     0.31330         0.00880        -0.00920              0       null           null           null             0     null 
        4.08800   0.00800     0.31070         0.00980        -0.00970              0       null           null           null             0     null 
        4.10400   0.00800     0.29930         0.00890        -0.00880              0       null           null           null             0     null 
